# HeatAmp, HeatExp, z_reion, z, <F>, T0, gamma, kF_Mpc
1.893000000000000016e+00 3.000000000000002665e-02 6.865000000000000213e+00 2.000000000000000000e+00 8.754422651187109272e-01 1.430642104581333115e+04 1.556836492523594018e+00 1.253176223107098153e+01
1.893000000000000016e+00 3.000000000000002665e-02 6.865000000000000213e+00 3.000000000000000000e+00 7.008534154848500286e-01 1.777041412921315350e+04 1.504271859309226578e+00 1.547996914579201366e+01
2.325000000000000178e+00 -7.500000000000000000e-01 7.495000000000000107e+00 4.000000000000000000e+00 4.820678379490949683e-01 1.707751338140838561e+04 9.957001534120423214e-01 2.683622374387223530e+01
2.325000000000000178e+00 -7.500000000000000000e-01 7.495000000000000107e+00 2.000000000000000000e+00 8.742563406161311113e-01 1.341222568536122708e+04 1.130413658138850863e+00 1.659413542772966110e+01
2.325000000000000178e+00 -7.500000000000000000e-01 7.495000000000000107e+00 3.000000000000000000e+00 7.235474363410586696e-01 1.695429127946505832e+04 1.077285171824298393e+00 2.125416722005466497e+01
7.050000000000000711e-01 1.049999999999999822e+00 1.085500000000000043e+01 4.000000000000000000e+00 2.978278721093631232e-01 1.056642061892341553e+04 2.127669624334600940e+00 1.598836830064384529e+01
7.050000000000000711e-01 1.049999999999999822e+00 1.085500000000000043e+01 2.000000000000000000e+00 8.561704178585355374e-01 9.811937159801867892e+03 2.160380293251386696e+00 1.046489153773393177e+01
7.050000000000000711e-01 1.049999999999999822e+00 1.085500000000000043e+01 3.000000000000000000e+00 6.312282361487068227e-01 1.158645068291412463e+04 2.154276188336523123e+00 1.251880283039840513e+01
2.810999999999999943e+00 -6.899999999999999467e-01 1.295500000000000007e+01 4.000000000000000000e+00 4.301528446451729493e-01 1.987847089080102160e+04 1.031483912814428860e+00 1.960913733826254202e+01
2.810999999999999943e+00 -6.899999999999999467e-01 1.295500000000000007e+01 2.000000000000000000e+00 8.667079438374740707e-01 1.598346015868448194e+04 1.186424587365505934e+00 1.594175194845677979e+01
2.810999999999999943e+00 -6.899999999999999467e-01 1.295500000000000007e+01 3.000000000000000000e+00 7.047795823078933930e-01 2.010827393956609740e+04 1.134548088447264513e+00 1.860846059827916221e+01
2.594999999999999751e+00 -3.000000000000002665e-02 7.285000000000000142e+00 4.000000000000000000e+00 4.516304245597777545e-01 2.105782911218282607e+04 1.382546698696144993e+00 2.057518536834643186e+01
2.594999999999999751e+00 -3.000000000000002665e-02 7.285000000000000142e+00 2.000000000000000000e+00 8.860203500072649785e-01 1.710886944576509995e+04 1.528201753253315420e+00 1.226513904406505517e+01
2.594999999999999751e+00 -3.000000000000002665e-02 7.285000000000000142e+00 3.000000000000000000e+00 7.208863490806168839e-01 2.127541524060642405e+04 1.477431048107237910e+00 1.461270425810895901e+01
2.108999999999999986e+00 5.100000000000002309e-01 1.022500000000000142e+01 4.000000000000000000e+00 4.054397234892804791e-01 2.030817253203351356e+04 1.766277932874336098e+00 1.537092827429616015e+01
2.108999999999999986e+00 5.100000000000002309e-01 1.022500000000000142e+01 2.000000000000000000e+00 8.877748414286475986e-01 1.707305241186862622e+04 1.839714674604355338e+00 1.075022373264122955e+01
2.108999999999999986e+00 5.100000000000002309e-01 1.022500000000000142e+01 3.000000000000000000e+00 7.087736538624798133e-01 2.097830438555814908e+04 1.815891262255904692e+00 1.242599934477271439e+01
9.750000000000000888e-01 -1.169999999999999929e+00 1.064499999999999957e+01 4.000000000000000000e+00 3.690800600127864817e-01 8.665369448832812850e+03 7.507453040795303290e-01 2.724005486780489349e+01
9.750000000000000888e-01 -1.169999999999999929e+00 1.064499999999999957e+01 2.000000000000000000e+00 8.311711357706176306e-01 7.556699782246573704e+03 9.480085990216359226e-01 2.310870713900384743e+01
9.750000000000000888e-01 -1.169999999999999929e+00 1.064499999999999957e+01 3.000000000000000000e+00 6.545806191858939416e-01 9.269848660622148600e+03 8.735571708135781988e-01 2.622820052102192179e+01
1.947000000000000064e+00 -5.100000000000000089e-01 9.384999999999999787e+00 4.000000000000000000e+00 3.860897841694172494e-01 1.587643342378531997e+04 1.136332488146451603e+00 2.158910413497434533e+01
1.947000000000000064e+00 -5.100000000000000089e-01 9.384999999999999787e+00 2.000000000000000000e+00 8.546828540401322227e-01 1.312906150201881610e+04 1.278974476409494798e+00 1.601508378802990151e+01
1.947000000000000064e+00 -5.100000000000000089e-01 9.384999999999999787e+00 3.000000000000000000e+00 6.780320157926651436e-01 1.632082752602310029e+04 1.218496659905165869e+00 1.912313447963342483e+01
2.000999999999999890e+00 -1.290000000000000036e+00 7.705000000000000071e+00 4.000000000000000000e+00 4.984595440890510210e-01 1.418986898889438999e+04 6.967632693877914285e-01 3.042677863245627989e+01
2.000999999999999890e+00 -1.290000000000000036e+00 7.705000000000000071e+00 2.000000000000000000e+00 8.694952168933147707e-01 1.110237921479184661e+04 8.722948010069337954e-01 2.048571667015796649e+01
2.000999999999999890e+00 -1.290000000000000036e+00 7.705000000000000071e+00 3.000000000000000000e+00 7.286979713824821570e-01 1.407395952198255873e+04 8.091819499865900989e-01 2.551093240271730878e+01
