# This version is build by the following options:
# Fisher optimization: OFF
# Redshift binning shape: Triangular
# Redshift growth scaling: OFF
# Using following configuration parameters:
# Fiducial Signal Baseline: ON
# Velocity Spacing: LOGARITHMIC
# Input is delta flux: YES
# Divide by mean flux of the chunk: OFF
# ContinuumMargAmp: 1.00e+02
# ContinuumMargDerv: 1.00e+02
# Fiducial Power Spectrum
# Pfid(k, z) = (A*pi/k0) * q^(2+n+alpha*ln(q)+beta*ln(x)) * x^B / (1 + lambda * k^2)
# k0=0.009 s km^-1, z0=3.0 and q=k/k0, x=(1+z)/(1+z0)
# Parameters set by config file:
# A      =    8.385172e-02
# n      =   -2.655483e+00
# alpha  =   -1.552019e-01
# B      =    3.644610e+00
# beta   =    3.156565e-01
# lambda =    4.270131e+02
# -----------------------------------------------------------------
# File Template
# Nz Nk
# n[0] n[1] ... n[Nz] n[Nz+1]
# z | k1 | k2 | kc | Pfid | ThetaP | Pest | ErrorP | d | b | t
# Nz     : Number of redshift bins
# Nk     : Number of k bins
# n[i]   : Spectral chunk count in redshift bin i. Left-most and right-most are out of range
# z      : Redshift bin center
# k1     : Lower edge of the k bin [s km^-1]
# k2     : Upper edge of the k bin [s km^-1]
# kc     : Center of the k bin [s km^-1]
# Pfid   : Fiducial power at kc [km s^-1]
# ThetaP : Deviation from Pfid found by quadratic estimator = d - b - t [km s^-1]
# Pest   : Pfid + ThetaP [km s^-1]
# ErrorP : Error estimated from diagonal terms of the inverse Fisher matrix [km s^-1]
# d      : Power estimate before noise (b) and fiducial power (t) subtracted [km s^-1]
# b      : Noise estimate [km s^-1]
# t      : Fiducial power estimate [km s^-1]
# -----------------------------------------------------------------
# 15 21
# 0 168 175 172 144 152 134 126 90 103 100 81 53 32 9 5 0 
    z             k1             k2             kc           Pfid         ThetaP           Pest         ErrorP              d              b              t
2.000   1.107854e-02   1.394706e-02   1.251280e-02   5.550715e+00   2.058420e-01   5.756557e+00   2.554991e-01   5.805357e+00   4.133017e-02   5.558185e+00
2.000   1.394706e-02   1.755831e-02   1.575268e-02   4.501860e+00   2.444800e-02   4.526308e+00   1.833455e-01   4.566249e+00   4.170766e-02   4.500093e+00
2.000   1.755831e-02   2.210460e-02   1.983145e-02   3.499075e+00   5.632684e-02   3.555402e+00   1.264378e-01   3.587517e+00   4.212995e-02   3.489060e+00
2.000   2.210460e-02   2.782804e-02   2.496632e-02   2.589563e+00  -9.122980e-02   2.498333e+00   8.327947e-02   2.524556e+00   4.251575e-02   2.573270e+00
2.000   2.782804e-02   3.503343e-02   3.143074e-02   1.812652e+00   1.111942e-01   1.923846e+00   5.209210e-02   1.946969e+00   4.269992e-02   1.793074e+00
2.000   3.503343e-02   4.410448e-02   3.956895e-02   1.192843e+00   3.493051e-03   1.196336e+00   3.082118e-02   1.219114e+00   4.234993e-02   1.173271e+00
2.000   4.410448e-02   5.552425e-02   4.981436e-02   7.345123e-01   3.118993e-02   7.657022e-01   1.723501e-02   7.897810e-01   4.090107e-02   7.176900e-01
2.000   5.552425e-02   6.990088e-02   6.271257e-02   4.220077e-01   6.796490e-04   4.226874e-01   9.138938e-03   4.477118e-01   3.761901e-02   4.094132e-01
2.000   6.990088e-02   8.800000e-02   7.895044e-02   2.259631e-01  -2.438668e-03   2.235244e-01   4.627824e-03   2.472143e-01   3.197929e-02   2.176737e-01
2.000   8.800000e-02   1.107854e-01   9.939272e-02   1.127631e-01  -1.614175e-03   1.111490e-01   2.257430e-03   1.306722e-01   2.437662e-02   1.079097e-01
2.000   1.107854e-01   1.394706e-01   1.251280e-01   5.250652e-02  -1.446388e-03   5.106013e-02   1.068631e-03   6.484489e-02   1.634147e-02   4.994981e-02
2.000   1.394706e-01   1.755831e-01   1.575268e-01   2.287221e-02  -1.072528e-03   2.179968e-02   4.930662e-04   3.012742e-02   9.561855e-03   2.163809e-02
2.000   1.755831e-01   2.210460e-01   1.983145e-01   9.368916e-03  -2.912146e-04   9.077702e-03   2.233862e-04   1.353257e-02   4.987965e-03   8.835823e-03
2.000   2.210460e-01   2.782804e-01   2.496632e-01   3.637968e-03  -9.431776e-05   3.543650e-03   1.033031e-04   5.941979e-03   2.585188e-03   3.451109e-03
2.000   2.782804e-01   3.503343e-01   3.143074e-01   1.348251e-03  -6.586799e-05   1.282383e-03   5.273127e-05   2.773319e-03   1.531091e-03   1.308096e-03
2.000   3.503343e-01   4.410448e-01   3.956895e-01   4.796395e-04   6.150295e-05   5.411424e-04   3.254626e-05   1.616871e-03   1.066030e-03   4.893386e-04
2.200   0.000000e+00   2.200000e-03   1.100000e-03   1.149542e+01   1.760734e-01   1.167149e+01   6.938727e-01   1.115926e+01   4.632350e-02   1.093686e+01
2.200   2.200000e-03   4.400000e-03   3.300000e-03   1.321074e+01   5.114277e-01   1.372217e+01   7.144512e-01   1.370572e+01   4.651875e-02   1.314778e+01
2.200   4.400000e-03   6.600000e-03   5.500000e-03   1.163951e+01   1.206277e+00   1.284579e+01   6.338271e-01   1.277792e+01   4.581414e-02   1.152583e+01
2.200   6.600000e-03   8.800000e-03   7.700000e-03   9.958275e+00   2.641587e-01   1.022243e+01   5.439888e-01   1.017393e+01   4.506402e-02   9.864707e+00
2.200   8.800000e-03   1.107854e-02   9.939272e-03   8.477678e+00  -3.140964e-01   8.163582e+00   4.550480e-01   8.139018e+00   4.432612e-02   8.408789e+00
