# This version is build by the following options:
# Fisher optimization: ON
# Redshift binning shape: Triangular
# Redshift growth scaling: OFF
# Using following configuration parameters:
# Fiducial Signal Baseline: ON
# Input is delta flux: YES
# Divide by mean flux of the chunk: OFF
# ContinuumMargOrder: 1
# Fiducial Power Spectrum
# Pfid(k, z) = (A*pi/k0) * q^(2+n+alpha*ln(q)+beta*ln(x)) * x^B / (1 + lambda * k^2)
# k0=0.009 s km^-1, z0=3.0 and q=k/k0, x=(1+z)/(1+z0)
# Parameters set by config file:
# A      =    6.621420e-02
# n      =   -2.685349e+00
# alpha  =   -2.232763e-01
# B      =    3.591244e+00
# beta   =   -1.768045e-01
# lambda =    3.598261e+02
# -----------------------------------------------------------------
# File Template
# Nz Nk
# n[0] n[1] ... n[Nz] n[Nz+1]
# z | k1 | k2 | kc | Pfid | ThetaP | Pest | ErrorP | d | b | t
# Nz     : Number of redshift bins
# Nk     : Number of k bins
# n[i]   : Spectral chunk count in redshift bin i. Left-most and right-most are out of range
# z      : Redshift bin center
# k1     : Lower edge of the k bin [s km^-1]
# k2     : Upper edge of the k bin [s km^-1]
# kc     : Center of the k bin [s km^-1]
# Pfid   : Fiducial power at kc [km s^-1]
# ThetaP : Deviation from Pfid found by quadratic estimator = d - b - t [km s^-1]
# Pest   : Pfid + ThetaP [km s^-1]
# ErrorP : Error estimated from diagonal terms of the inverse Fisher matrix [km s^-1]
# d      : Power estimate before noise (b) and fiducial power (t) subtracted [km s^-1]
# b      : Noise estimate [km s^-1]
# t      : Fiducial power estimate [km s^-1]
# -----------------------------------------------------------------
# 14 42
# 106 258253 206234 106186 72391 41529 22157 11277 7196 8325 4459 59 0 0 0 0
z k1 k2 kc Pfid ThetaP Pest ErrorP d b t
2.000 1.99526e-02 2.23872e-02 2.11699e-02 3.22971e+00 -1.24319e-01 3.10539e+00 1.89466e-02 -1.92145e-07 3.99239e-05 2.04986e-05
2.000 2.23872e-02 2.51189e-02 2.37530e-02 2.77627e+00 -9.72588e-02 2.67901e+00 2.16991e-02 -1.93250e-07 4.39536e-05 8.05114e-06
2.000 2.51189e-02 2.81838e-02 2.66514e-02 2.35432e+00 -9.98855e-02 2.25444e+00 2.78780e-02 -1.94362e-07 -1.68632e-05 -1.06269e-05
2.000 2.81838e-02 3.16228e-02 2.99033e-02 1.96798e+00 -1.53418e-01 1.81456e+00 4.21579e-02 -1.95452e-07 -7.10073e-05 -1.25837e-05
2.000 3.16228e-02 3.54813e-02 3.35521e-02 1.62029e+00 -2.35732e-01 1.38456e+00 7.94017e-02 -1.96579e-07 -3.73291e-05 -2.93723e-07
2.000 3.54813e-02 3.98107e-02 3.76460e-02 1.31307e+00 -1.81564e-01 1.13151e+00 1.96329e-01 -1.97714e-07 5.54776e-05 7.64912e-06
2.200 0.00000e+00 5.00000e-04 2.50000e-04 4.78729e+00 -2.19869e-02 4.76530e+00 3.90906e-02 -2.10723e-07 1.23820e-04 -1.94178e-05
2.200 5.00000e-04 1.00000e-03 7.50000e-04 9.71326e+00 -2.94107e-02 9.68385e+00 3.84195e-02 -2.11955e-07 8.74532e-05 -5.56553e-06
2.200 1.00000e-03 1.50000e-03 1.25000e-03 1.20051e+01 2.81898e-02 1.20333e+01 4.43088e-02 -2.13196e-07 -5.94246e-05 1.91453e-05
2.200 1.50000e-03 2.00000e-03 1.75000e-03 1.30185e+01 2.54433e-02 1.30440e+01 4.72319e-02 -2.14445e-07 -1.30899e-04 2.19998e-05
2.200 2.00000e-03 2.50000e-03 2.25000e-03 1.33867e+01 2.37942e-03 1.33891e+01 4.83769e-02 -2.15703e-07 -3.76884e-05 -4.71509e-06
2.200 2.50000e-03 3.00000e-03 2.75000e-03 1.34080e+01 6.48884e-02 1.34728e+01 4.85595e-02 -2.16970e-07 1.00199e-04 -2.87655e-05
2.200 3.00000e-03 3.50000e-03 3.25000e-03 1.32351e+01 3.33221e-02 1.32684e+01 4.82128e-02 -2.18245e-07 1.09401e-04 -1.72285e-05
2.200 3.50000e-03 4.00000e-03 3.75000e-03 1.29521e+01 -1.88270e-02 1.29333e+01 4.75688e-02 -2.19530e-07 -1.66413e-05 1.83348e-05
2.200 4.00000e-03 4.50000e-03 4.25000e-03 1.26075e+01 3.58089e-02 1.26433e+01 4.67616e-02 -2.20824e-07 -1.15624e-04 3.28910e-05
2.200 4.50000e-03 5.00000e-03 4.75000e-03 1.22301e+01 -1.00124e-01 1.21299e+01 4.58702e-02 -2.22126e-07 -6.72695e-05 5.53846e-06
2.200 5.00000e-03 5.50000e-03 5.25000e-03 1.18377e+01 -1.66800e-02 1.18210e+01 4.49430e-02 -2.23438e-07 5.91630e-05 -3.06975e-05
2.200 5.50000e-03 6.00000e-03 5.75000e-03 1.14414e+01 -9.36607e-02 1.13477e+01 4.40113e-02 -2.24758e-07 1.03399e-04 -2.91110e-05
2.200 6.00000e-03 6.50000e-03 6.25000e-03 1.10482e+01 1.67860e-02 1.10650e+01 4.30948e-02 -2.26089e-07 1.92806e-05 9.92673e-06
2.200 6.50000e-03 7.00000e-03 6.75000e-03 1.06623e+01 3.84741e-02 1.07008e+01 4.22057e-02 -2.27428e-07 -7.84563e-05 3.74133e-05
2.200 7.00000e-03 7.50000e-03 7.25000e-03 1.02866e+01 -5.24711e-02 1.02341e+01 4.13518e-02 -2.28777e-07 -7.10595e-05 1.78579e-05
2.200 7.50000e-03 8.00000e-03 7.75000e-03 9.92242e+00 -4.90494e-02 9.87337e+00 4.05378e-02 -2.30135e-07 1.86589e-05 -2.44766e-05
2.200 8.00000e-03 8.50000e-03 8.25000e-03 9.57075e+00 -4.15613e-02 9.52919e+00 3.97667e-02 -2.31503e-07 7.21710e-05 -3.59873e-05
2.200 8.50000e-03 9.00000e-03 8.75000e-03 9.23195e+00 3.38784e-03 9.23534e+00 3.90398e-02 -2.32880e-07 3.28279e-05 -2.28350e-06
2.200 9.00000e-03 9.50000e-03 9.25000e-03 8.90606e+00 -1.29786e-01 8.77628e+00 3.83457e-02 -2.34267e-07 -3.55419e-05 3.36385e-05
2.200 9.50000e-03 1.00000e-02 9.75000e-03 8.59294e+00 3.57595e-02 8.62870e+00 3.74219e-02 -2.35664e-07 -4.75877e-05 2.67803e-05
2.200 1.00000e-02 1.12202e-02 1.06101e-02 8.08329e+00 1.49457e-03 8.08479e+00 2.18573e-02 -2.37070e-07 -3.95960e-06 -1.29144e-05
2.200 1.12202e-02 1.25892e-02 1.19047e-02 7.38130e+00 -3.05431e-02 7.35076e+00 1.97841e-02 -2.38487e-07 2.92784e-05 -3.48393e-05
2.200 1.25892e-02 1.41254e-02 1.33573e-02 6.67814e+00 -6.54024e-02 6.61274e+00 1.80525e-02 -2.39913e-07 1.84578e-05 -1.28703e-05
2.200 1.41254e-02 1.58489e-02 1.49871e-02 5.98248e+00 -9.88848e-02 5.88360e+00 1.66287e-02 -2.41349e-07 -5.18531e-06 2.32571e-05
2.200 1.58489e-02 1.77828e-02 1.68159e-02 5.30281e+00 -8.62822e-02 5.21652e+00 1.55540e-02 -2.42796e-07 -7.18205e-06 2.83526e-05
2.200 1.77828e-02 1.99526e-02 1.88677e-02 4.64728e+00 -9.28223e-02 4.55446e+00 1.49056e-02 -2.44253e-07 5.95960e-07 -1.12755e-06
2.200 1.99526e-02 2.23872e-02 2.11699e-02 4.02359e+00 -8.49203e-02 3.93867e+00 1.48316e-02 -2.45720e-07 -6.95008e-06 -2.61557e-05
2.200 2.23872e-02 2.51189e-02 2.37530e-02 3.43869e+00 -1.15391e-01 3.32330e+00 1.56321e-02 -2.47197e-07 -1.72111e-05 -1.71470e-05
2.200 2.51189e-02 2.81838e-02 2.66514e-02 2.89858e+00 -1.40227e-01 2.75835e+00 1.79705e-02 -2.48685e-07 8.84548e-08 1.08215e-05
2.200 2.81838e-02 3.16228e-02 2.99033e-02 2.40796e+00 -1.51849e-01 2.25611e+00 2.34854e-02 -2.50183e-07 3.27203e-05 2.18415e-05
2.200 3.16228e-02 3.54813e-02 3.35521e-02 1.97003e+00 -1.04531e-01 1.86550e+00 3.68625e-02 -2.51692e-07 2.97028e-05 5.70100e-06
2.200 3.54813e-02 3.98107e-02 3.76460e-02 1.58631e+00 -2.12479e-01 1.37383e+00 7.42128e-02 -2.53212e-07 -2.14175e-05 -1.36987e-05
2.400 0.00000e+00 5.00000e-04 2.50000e-04 5.74259e+00 6.32463e-02 5.80584e+00 4.77538e-02 -2.70651e-07 -9.22849e-05 9.83182e-06
2.400 5.00000e-04 1.00000e-03 7.50000e-04 1.24564e+01 2.96533e-02 1.24860e+01 5.19460e-02 -2.72304e-07 -9.63008e-05 6.19223e-06
2.400 1.00000e-03 1.50000e-03 1.25000e-03 1.55861e+01 -1.34389e-02 1.55727e+01 6.18082e-02 -2.73979e-07 2.34612e-05 -9.11194e-06
2.400 1.50000e-03 2.00000e-03 1.75000e-03 1.69737e+01 -8.85451e-02 1.68852e+01 6.63837e-02 -2.75656e-07 1.17139e-04 -1.63556e-05
2.400 2.00000e-03 2.50000e-03 2.25000e-03 1.74809e+01 5.59708e-02 1.75369e+01 6.81431e-02 -2.77345e-07 6.37466e-05 -1.81783e-06
2.400 2.50000e-03 3.00000e-03 2.75000e-03 1.75142e+01 9.71567e-03 1.75239e+01 6.84091e-02 -2.79046e-07 -7.11457e-05 1.90283e-05
2.400 3.00000e-03 3.50000e-03 3.25000e-03 1.72823e+01 9.18842e-02 1.73742e+01 6.78530e-02 -2.80759e-07 -1.16763e-04 1.76743e-05
2.400 3.50000e-03 4.00000e-03 3.75000e-03 1.69001e+01 8.80153e-02 1.69881e+01 6.68363e-02 -2.82484e-07 -1.55041e-05 -8.33632e-06
2.400 4.00000e-03 4.50000e-03 4.25000e-03 1.64339e+01 6.72277e-02 1.65011e+01 6.55641e-02 -2.84221e-07 1.03597e-04 -2.70974e-05
2.400 4.50000e-03 5.00000e-03 4.75000e-03 1.59233e+01 3.64111e-02 1.59597e+01 6.41579e-02 -2.85970e-07 9.09107e-05 -1.18786e-05
2.400 5.00000e-03 5.50000e-03 5.25000e-03 1.53927e+01 -3.90066e-02 1.53537e+01 6.26923e-02 -2.87732e-07 -3.39047e-05 2.09965e-05
2.400 5.50000e-03 6.00000e-03 5.75000e-03 1.48573e+01 9.25159e-02 1.49498e+01 6.12149e-02 -2.89506e-07 -1.11507e-04 2.93787e-05
2.400 6.00000e-03 6.50000e-03 6.25000e-03 1.43266e+01 -7.94235e-02 1.42472e+01 5.97561e-02 -2.91293e-07 -4.82377e-05 -1.47488e-07
2.400 6.50000e-03 7.00000e-03 6.75000e-03 1.38065e+01 -2.21929e-02 1.37843e+01 5.83345e-02 -2.93092e-07 6.98350e-05 -3.16324e-05
2.400 7.00000e-03 7.50000e-03 7.25000e-03 1.33006e+01 -1.98915e-02 1.32808e+01 5.69614e-02 -2.94904e-07 9.43561e-05 -2.39619e-05
2.400 7.50000e-03 8.00000e-03 7.75000e-03 1.28111e+01 1.40564e-02 1.28252e+01 5.56437e-02 -2.96729e-07 2.93689e-06 1.50109e-05
2.400 8.00000e-03 8.50000e-03 8.25000e-03 1.23391e+01 2.59214e-02 1.23651e+01 5.43859e-02 -2.98567e-07 -8.29704e-05 3.62059e-05
2.400 8.50000e-03 9.00000e-03 8.75000e-03 1.18851e+01 -1.07465e-01 1.17776e+01 5.31900e-02 -3.00417e-07 -6.04098e-05 1.17570e-05
2.400 9.00000e-03 9.50000e-03 9.25000e-03 1.14490e+01 9.08247e-03 1.14581e+01 5.20491e-02 -3.02281e-07 3.06884e-05 -2.80737e-05
2.400 9.50000e-03 1.00000e-02 9.75000e-03 1.10307e+01 -1.24045e-01 1.09067e+01 5.07219e-02 -3.04158e-07 7.26540e-05 -3.27382e-05
2.400 1.00000e-02 1.12202e-02 1.06101e-02 1.03514e+01 -7.67227e-02 1.02747e+01 2.96262e-02 -3.06048e-07 2.33618e-05 3.80855e-06
2.400 1.12202e-02 1.25892e-02 1.19047e-02 9.41894e+00 -8.81016e-02 9.33084e+00 2.65288e-02 -3.07951e-07 -4.35989e-05 3.52063e-05
2.400 1.25892e-02 1.41254e-02 1.33573e-02 8.48905e+00 -7.39195e-02 8.41513e+00 2.38540e-02 -3.09868e-07 -4.68414e-05 2.20851e-05
2.400 1.41254e-02 1.58489e-02 1.49871e-02 7.57355e+00 -1.09629e-01 7.46392e+00 2.15638e-02 -3.11798e-07 3.04250e-06 -1.80644e-05
